sample_line_no,const_to_unfold,trigger
2,0,3*(9-3)
3,0,3*(9-3)
4,0,(4*4*2)
6,63,(4*4*2)
7,4,(4+6)*2
12,0,(4*4*2)
13,0,2*(4-2)
14,0,(5+5+2)*33
15,1,3*(9-3)
16,0,2*(4-2)
17,0,(5+5+2)*33
18,1,3*(9-3)
19,0,2*(4-2)
23,0,(5+5+2)*33
24,31,2*(4-2)
27,1,2*(4-2)
29,0,(4+6)*2
31,0,2*(4-2)
35,1,(5+5+2)*33
40,0,3*(9-3)
42,0,(5+5+2)*33
43,1,(5+5+2)*33
44,0,2*(4-2)
45,0,3*(9-3)
46,1,3*(9-3)
47,0,(5+5+2)*33
51,0,2*(4-2)
53,0,(5+5+2)*33
56,1,3*(9-3)
58,0,3*(9-3)
62,1,(4+6)*2
63,1,(5+5+2)*33
64,4096,(5+5+2)*33
66,0,2*(4-2)
67,0,(4*4*2)
70,0,(4+6)*2
74,1,3*(9-3)
77,0,2*(4-2)
79,0,(4+6)*2
81,1,(4+6)*2
83,0,(5+5+2)*33
84,0,3*(9-3)
85,1,(4+6)*2
91,1,(4+6)*2
94,0,(5+5+2)*33
95,0,2*(4-2)
97,0,(4+6)*2
102,0,(5+5+2)*33
104,4,(4*4*2)
107,0,(4*4*2)
108,1,(5+5+2)*33
110,1,3*(9-3)
113,0,(4+6)*2
114,0,(4*4*2)
116,0,(4*4*2)
118,0,2*(4-2)
119,44100,3*(9-3)
120,0,2*(4-2)
121,1,(4+6)*2
122,0,2*(4-2)
124,0,3*(9-3)
126,0,3*(9-3)
129,0,(5+5+2)*33
134,2,2*(4-2)
136,1,2*(4-2)
138,0,(5+5+2)*33
139,0,2*(4-2)
140,30,(5+5+2)*33
143,1,3*(9-3)
144,1,3*(9-3)
145,1,2*(4-2)
146,0,3*(9-3)
147,0,(5+5+2)*33
153,0,(4*4*2)
154,0,(4*4*2)
156,0,(4+6)*2
157,4,2*(4-2)
158,0,(5+5+2)*33
160,0,3*(9-3)
161,0,2*(4-2)
162,4,2*(4-2)
163,0,3*(9-3)
166,0,(5+5+2)*33
168,0,(4+6)*2
170,0,(4*4*2)
171,1,2*(4-2)
174,1,(5+5+2)*33
175,16,(5+5+2)*33
177,0,(4*4*2)
178,0,3*(9-3)
179,0,(5+5+2)*33
182,0,2*(4-2)
194,2,(4*4*2)
195,0,3*(9-3)
196,15,(4+6)*2
197,2,2*(4-2)
198,1280,(4*4*2)
199,0,(4*4*2)
200,1,(4*4*2)
201,128,(4+6)*2
203,0,(4*4*2)
206,0,2*(4-2)
208,4,(5+5+2)*33
209,0,(5+5+2)*33
211,13,3*(9-3)
213,0,3*(9-3)
214,0,(5+5+2)*33
215,1,3*(9-3)
216,3,(4*4*2)
218,0,(4*4*2)
221,0,(5+5+2)*33
223,1,(5+5+2)*33
224,0,2*(4-2)
226,0,(5+5+2)*33
229,3,2*(4-2)
231,4,2*(4-2)
234,0,3*(9-3)
235,4,(5+5+2)*33
236,0,3*(9-3)
238,0,(5+5+2)*33
239,0,(4*4*2)
240,1,3*(9-3)
241,1,2*(4-2)
244,0,(4*4*2)
247,0,(4*4*2)
249,0,(4*4*2)
250,1,3*(9-3)
253,0,3*(9-3)
260,0,(4*4*2)
262,1,(5+5+2)*33
264,0,(4+6)*2
266,1,3*(9-3)
267,1,(4*4*2)
268,0,2*(4-2)
270,4,2*(4-2)
271,0,(5+5+2)*33
278,0,(4*4*2)
279,0,2*(4-2)
282,0,(5+5+2)*33
284,0,(4*4*2)
288,0,3*(9-3)
292,1,(5+5+2)*33
296,0,2*(4-2)
297,0,3*(9-3)
298,0,2*(4-2)
301,1,(4*4*2)
305,1,(4+6)*2
306,0,(4+6)*2
308,0,(4+6)*2
309,0,2*(4-2)
310,4,(4+6)*2
313,1,(5+5+2)*33
314,0,3*(9-3)
316,0,(4*4*2)
317,4,2*(4-2)
319,1,3*(9-3)
320,0,(5+5+2)*33
321,1,3*(9-3)
322,0,3*(9-3)
323,0,2*(4-2)
324,0,(4*4*2)
327,0,2*(4-2)
328,0,(5+5+2)*33
329,4096,2*(4-2)
330,1,(5+5+2)*33
331,0,(5+5+2)*33
335,1,(4*4*2)
339,0,(5+5+2)*33
340,1,(4+6)*2
341,0,(4+6)*2
343,0,(5+5+2)*33
344,2,2*(4-2)
345,31,(4+6)*2
346,0,(4+6)*2
349,0,3*(9-3)
350,0,2*(4-2)
352,1,(4*4*2)
354,0,(4*4*2)
355,1,2*(4-2)
356,0,2*(4-2)
357,0,3*(9-3)
358,15,(4*4*2)
359,0,(4+6)*2
360,1,(5+5+2)*33
361,1,3*(9-3)
367,1,(5+5+2)*33
369,0,(5+5+2)*33
372,0,(4*4*2)
373,0,(5+5+2)*33
374,0,(4*4*2)
375,0,(5+5+2)*33
376,1,3*(9-3)
378,0,2*(4-2)
379,0,2*(4-2)
381,0,(4+6)*2
382,0,(4*4*2)
383,0,2*(4-2)
384,0,(5+5+2)*33
389,0,(4+6)*2
391,1,(4*4*2)
395,0,(5+5+2)*33
397,0,(4+6)*2
399,1,(4*4*2)
400,0,(5+5+2)*33
401,32,(4+6)*2
