sample_line_no,method_to_rename,trigger
1,vfio_platform_eoi,set_count_
2,ff_vdpau_common_init,get_frame_
3,tb_unreliable,get_count_
4,hwupload_query_formats,get_count_
5,tlb_fill,init_Val_
6,drive_init,set_count_
7,h264_loop_filter_chroma_c,ret_Val_
8,nvme_instance_init,ret_Val_
9,qio_channel_tls_handshake_io,get_frame_
10,bdrv_co_do_pwrite_zeroes,init_Val_
11,qemu_chr_open_win_file_out,ret_Val_
12,text_console_init,init_Val_
13,ff_ass_split_override_codes,set_count_
14,yuv2422_2_c_template,get_frame_
15,nut_read_header,init_Val_
16,decode_sequence_header_adv,set_count_
17,vga_draw_graphic,set_count_
18,http_start_receive_data,ret_Val_
19,handle_qmp_command,ret_Val_
20,blk_get_aio_context,init_Val_
21,avcodec_decode_video2,get_frame_
22,bt_hci_event_complete_read_local_name,ret_Val_
23,setup_rt_frame,set_count_
24,gen_cmp,ret_Val_
25,dv_init_demux,init_Val_
26,qvirtio_scsi_pci_free,get_frame_
27,vnc_job_add_rect,init_Val_
28,local_truncate,ret_Val_
29,process_input_packet,get_frame_
30,calc_lowcomp,set_count_
31,bdrv_write_compressed,get_count_
32,pc_machine_set_vmport,set_count_
33,ff_wmv2_common_init,init_Val_
34,cpu_copy,set_count_
35,targa_encode_frame,set_count_
36,xlnx_ep108_machine_init,get_count_
37,child_handler,get_frame_
38,scsi_disk_emulate_mode_sense,get_count_
39,gen_branch,get_count_
40,dpcm_decode_frame,get_frame_
41,pred8x8_top_dc_rv40_c,get_count_
42,get_phys_addr_v5,init_Val_
43,get_monitor_def,ret_Val_
44,target_to_host_cmsg,init_Val_
45,nbd_negotiate_handle_info,ret_Val_
46,rtmp_read_seek,get_frame_
47,amr_wb_encode_init,get_frame_
48,scsi_req_set_status,get_frame_
49,flatview_ref,ret_Val_
50,bdrv_pread,get_frame_
51,vhost_virtqueue_init,ret_Val_
52,json_lexer_init,ret_Val_
53,vscsi_command_complete,init_Val_
54,qemu_ftell,ret_Val_
55,trans_log,init_Val_
56,test_tco1_status_bits,get_count_
57,RENAME,get_count_
58,dshow_read_header,init_Val_
59,qobject_input_get_keyval,init_Val_
60,lsi_ram_write,get_frame_
61,ff_put_h264_qpel8_mc23_msa,get_count_
62,bdrv_read_em,get_frame_
63,ff_h264_check_intra_pred_mode,ret_Val_
64,read_packet,ret_Val_
65,vnc_disconnect_finish,set_count_
66,decode_frame,get_count_
67,decode_subframe,ret_Val_
68,qemu_chr_alloc,init_Val_
69,test_dma_fragmented,get_count_
70,qcow2_read_extensions,set_count_
71,xtensa_kc705_init,init_Val_
72,gen_ea,get_frame_
73,nvenc_setup_rate_control,set_count_
74,apply_tns_filter,ret_Val_
75,cpu_loop,ret_Val_
76,HELPER,init_Val_
77,monitor_get_reg,init_Val_
78,pxa2xx_pm_write,init_Val_
79,decode_init_mp3on4,init_Val_
80,RENAME,ret_Val_
81,ssim_plane,set_count_
82,do_info_commands,init_Val_
83,decode_element,get_frame_
84,net_vhost_user_init,get_frame_
85,vmdk_parent_open,init_Val_
86,virtio_ccw_handle_set_vq,set_count_
87,qemu_archipelago_getlength,set_count_
88,hdev_get_max_segments,ret_Val_
89,ccid_on_apdu_from_guest,get_count_
90,qemu_ram_remap,get_frame_
91,ppc_hash64_pte_update_flags,init_Val_
92,bdrv_round_to_clusters,set_count_
93,pxa2xx_pic_init,get_count_
94,do_send_key,get_frame_
95,kvm_arch_handle_exit,init_Val_
96,codeblock,init_Val_
97,read_gab2_sub,get_count_
98,helper_ldl,set_count_
99,vnc_connect,ret_Val_
100,sws_rgb2rgb_init,set_count_
101,curl_readv_bh_cb,get_count_
102,seq_unpack_rle_block,get_frame_
103,avc_luma_vt_and_aver_dst_16x16_msa,get_count_
104,rv40_strong_loop_filter,get_count_
105,ehci_free_packet,ret_Val_
106,spapr_pci_rtas_init,get_frame_
107,qemu_fopen_rdma,get_frame_
108,pred_direct_motion,get_frame_
109,cchip_write,get_count_
110,ff_mpeg1_encode_init,init_Val_
111,megasas_pd_get_info_submit,set_count_
112,serial_tx_done,init_Val_
113,ff_thread_init,set_count_
114,init_bundles,get_count_
115,virtio_s390_notify,set_count_
116,ff_parse_sample_rate,get_count_
117,qio_channel_command_finalize,init_Val_
118,qcow2_pre_write_overlap_check,get_count_
119,ff_wma_init,ret_Val_
120,net_slirp_hostfwd_remove,get_count_
121,img_info,ret_Val_
122,encode_hq_slice,ret_Val_
123,test_qga_file_write_read,get_count_
124,srt_probe,get_frame_
125,show_stream,get_count_
126,qcow2_is_allocated,init_Val_
127,dcr_read_pob,init_Val_
128,nvic_readl,set_count_
129,img_write_packet,init_Val_
130,libquvi_read_packet,init_Val_
131,s390_pci_find_dev_by_target,init_Val_
132,hmp_cont_cb,ret_Val_
133,s390_pci_iommu_disable,get_frame_
134,cinaudio_decode_frame,init_Val_
135,ff_avg_h264_qpel4_mc13_msa,set_count_
136,yuv2rgba64_full_1_c_template,ret_Val_
137,qemu_file_set_rate_limit,set_count_
138,sdl_write_trailer,set_count_
139,vmdk_open_vmdk4,set_count_
140,dct32,init_Val_
141,realize,set_count_
142,test_visitor_in_native_list_int32,get_count_
143,ljpeg_encode_frame,init_Val_
144,xchg_mb_border,set_count_
145,xbzrle_cache_resize,set_count_
146,curl_sock_cb,get_frame_
147,vmdk_parse_extents,get_count_
148,vmxnet3_update_features,set_count_
149,handle_sys,set_count_
150,kvm_set_mce,set_count_
151,arm_cpu_do_interrupt_aarch64,set_count_
152,nbd_close,set_count_
153,arm_cpu_dump_state,ret_Val_
154,fd_chr_read,get_count_
155,cpu_common_reset,init_Val_
156,boston_fdt_filter,ret_Val_
157,get_bat,set_count_
158,gen_intermediate_code_internal,ret_Val_
159,tcg_out_movi,get_frame_
160,helper_efdctuidz,set_count_
161,pcistb_service_call,get_count_
162,gen_op_mov_v_reg,init_Val_
163,hdev_open,init_Val_
164,RENAME,get_count_
165,gen_mtdcrx,get_count_
166,check_oflag_copied,ret_Val_
167,qdev_device_add,ret_Val_
168,spapr_nvram_realize,init_Val_
169,RENAME,ret_Val_
170,megasas_ctrl_get_info,get_count_
171,ppc_cpu_realizefn,set_count_
172,kvm_start_vcpu,ret_Val_
173,virtio_scsi_device_unrealize,get_frame_
174,trace_init_file,get_frame_
175,kvmppc_get_books_sregs,set_count_
176,exynos4210_fimd_read,init_Val_
177,thp_read_header,init_Val_
178,write_dump_pages,ret_Val_
179,qemu_get_buffer,ret_Val_
180,thread_pool_cancel,ret_Val_
181,helper_addlv,ret_Val_
182,RENAME,get_frame_
183,qemu_get_ram_block,init_Val_
184,iohandler_get_g_source,init_Val_
185,mxf_get_stream_index,set_count_
186,vmgenid_query_monitor_test,get_frame_
187,gen_neon_widen,ret_Val_
188,qmp_output_type_number,set_count_
189,ivshmem_io_writel,get_frame_
190,usb_bt_fifo_out_enqueue,get_frame_
191,m68k_cpu_list,set_count_
192,worker,init_Val_
193,libopus_encode_init,get_count_
194,keyword_literal,ret_Val_
195,v9fs_xattr_read,ret_Val_
196,yv12toyuy2_unscaled_altivec,init_Val_
197,g722_encode_init,init_Val_
198,copy_frame,ret_Val_
199,nbd_establish_connection,get_frame_
200,pcx_decode_frame,init_Val_
201,imdct_and_windowing,get_frame_
202,helper_fcmp_gt_DT,get_frame_
203,v9fs_synth_lstat,get_frame_
204,qapi_dealloc_end_struct,ret_Val_
205,qemu_opts_print,get_frame_
206,block_save_complete,ret_Val_
207,add_aio_request,set_count_
208,film_read_header,get_frame_
209,virtio_scsi_vring_init,set_count_
210,platform_mmio_map,set_count_
211,yuv2rgba64_1_c_template,set_count_
212,rng_random_set_filename,ret_Val_
213,target_to_host_timespec,ret_Val_
214,recheck_discard_flags,get_frame_
215,integratorcp_init,ret_Val_
216,vqa_decode_chunk,get_count_
217,ff_get_unscaled_swscale,set_count_
218,vmd_read_header,get_count_
219,do_divwuo,set_count_
220,mv_pred_direct,get_frame_
221,movie_request_frame,set_count_
222,nbd_reject_length,init_Val_
223,mov_read_ftyp,ret_Val_
224,sd_read_data,get_frame_
225,bdrv_pwrite,get_frame_
226,helper_cmpbge,get_frame_
227,path_is_absolute,ret_Val_
228,block_save_iterate,set_count_
229,pnm_decode_header,get_count_
230,mixer_reset,init_Val_
231,vmdk_parse_extents,init_Val_
232,arm_sysctl_read,ret_Val_
233,nvme_create_sq,set_count_
234,ffmmal_init_decoder,get_count_
235,hScale_altivec_real,ret_Val_
236,opt_cpuflags,get_count_
237,check_tm_pred4x4_mode,init_Val_
238,rgb24_to_yuv444p,init_Val_
239,dynticks_start_timer,init_Val_
240,qemu_rdma_poll,get_frame_
241,local_opendir,init_Val_
242,eepro100_read,set_count_
243,ics_simple_realize,get_frame_
244,opt_new_stream,ret_Val_
245,gd_resize,get_count_
246,helper_sdiv,get_count_
247,read_quant_table,ret_Val_
248,vfio_intx_enable_kvm,get_frame_
249,nbd_client_session_co_flush,get_count_
250,wm8750_set_bclk_in,get_frame_
251,div32,ret_Val_
252,write_target_commit,get_count_
253,vble_unpack,init_Val_
254,nvdimm_build_common_dsm,get_frame_
255,virtio_notify,get_frame_
256,spapr_cpu_core_host_initfn,ret_Val_
257,ff_vp56_init_range_decoder,get_frame_
258,intel_hda_mmio_writeb,get_count_
259,gen_op_eval_fbo,set_count_
260,mst_fpga_readb,init_Val_
261,gd_create_menu_machine,ret_Val_
262,ppc_find_by_pvr,get_count_
263,simple_number,get_count_
264,lm32_evr_init,ret_Val_
265,xan_huffman_decode,get_count_
266,local_open2,get_frame_
267,stream_process_mem2s,set_count_
268,gen_iwmmxt_shift,ret_Val_
269,find_dirty_height,ret_Val_
270,boston_platreg_read,init_Val_
271,av_build_index_raw,init_Val_
272,ide_atapi_cmd_reply_end,set_count_
273,quit_timers,get_count_
274,decode_sys_interrupts,set_count_
275,pal_init,get_count_
276,vtd_do_iommu_translate,ret_Val_
277,test_smbios_ep_address,get_count_
278,ff_ivi_init_planes,get_frame_
279,quantize_and_encode_band_cost_SPAIR_mips,get_count_
280,ehci_mem_writel,get_count_
281,vnc_flush,ret_Val_
282,pci_default_write_config,get_count_
283,handle_mousewheel,ret_Val_
284,tcg_out_dat_rIK,set_count_
285,tcg_out_setcond2,get_frame_
286,avc_biwgt_4x4multiple_msa,get_frame_
287,qemu_fopen_fd,get_count_
288,dxtory_decode_v2_420,set_count_
289,fw_cfg_comb_valid,ret_Val_
290,tb_flush_jmp_cache,ret_Val_
291,ff_rtsp_undo_setup,ret_Val_
292,encode_block,set_count_
293,migrate_fd_completed,init_Val_
294,scsi_req_abort,init_Val_
295,emulated_edge_mc_sse,init_Val_
296,kvm_arch_insert_sw_breakpoint,set_count_
297,aio_read_done,get_frame_
298,ffv1_init_slice_contexts,get_frame_
299,filter_mb_edgech,set_count_
300,ff_put_h264_qpel8_mc21_msa,init_Val_
301,img_commit,get_count_
302,choose_pixel_fmt,get_frame_
303,test_source_wait_event_notifier,set_count_
304,receive_from_chr_layer,init_Val_
305,h263_decode_picture_header,get_count_
306,hScale8To15_c,get_count_
307,pci_unin_main_config_writel,ret_Val_
308,vfio_add_std_cap,get_count_
309,raw_init_encoder,init_Val_
310,mpc7_decode_frame,get_count_
311,ne2000_ioport_write,init_Val_
312,vnc_tls_initialize_anon_cred,get_count_
313,select_display,ret_Val_
314,gen_trap,ret_Val_
315,RET_STOP,get_count_
316,protocol_client_init,get_frame_
317,diff_pixels_altivec,get_count_
318,ldq_phys_internal,get_frame_
319,lpc_analyze_remodulate,ret_Val_
320,fb_initialise,get_frame_
321,read_thread,set_count_
322,vaapi_build_decoder_config,init_Val_
323,get_riff,ret_Val_
324,do_syscall,get_frame_
325,test_validate_fail_alternate,init_Val_
326,set_vlan,init_Val_
327,vmstate_load_state,ret_Val_
328,search_for_quantizers_anmr,set_count_
329,cpu_get_phys_page_debug,get_count_
330,qemu_pci_hot_add_storage,set_count_
331,iscsi_co_pdiscard,ret_Val_
332,vmxnet3_net_uninit,ret_Val_
333,eth_setup_ip4_fragmentation,ret_Val_
334,RENAME,ret_Val_
335,choose_pixel_fmts,get_count_
336,g_realloc,ret_Val_
337,qpci_pc_config_readl,get_frame_
338,qmp_output_end_struct,get_count_
339,parse_dynamic_acl,get_count_
340,draw_bar_yuv,get_frame_
341,blkverify_open,get_frame_
342,raven_class_init,ret_Val_
343,codec_get_buffer,get_frame_
344,mirror,get_count_
345,gen_ext_h,get_frame_
346,standard_decode_i_mbs,set_count_
347,do_modify_softint,ret_Val_
348,pci_prep_init,set_count_
349,amr_nb_encode_frame,init_Val_
350,tmv_read_seek,ret_Val_
351,build_header,ret_Val_
352,qemu_rdma_dest_init,ret_Val_
353,qemu_net_queue_append,get_count_
354,write_option,get_count_
355,qio_channel_socket_dgram_sync,get_frame_
356,x11grab_read_header,get_count_
357,xen_platform_initfn,get_count_
358,AAC_RENAME,ret_Val_
359,swf_write_trailer,get_frame_
360,flv_read_metabody,init_Val_
361,getopt,ret_Val_
362,ac97_initfn,ret_Val_
363,do_data_decompress,init_Val_
364,ide_identify,get_frame_
365,kvm_log_start,get_count_
366,qemu_spice_display_init_one,set_count_
367,s390_ipl_init,init_Val_
368,ff_avg_h264_qpel16_mc33_msa,init_Val_
369,virtio_serial_init_pci,init_Val_
370,cook_parse,ret_Val_
371,qio_channel_websock_source_dispatch,ret_Val_
372,libopenjpeg_copy_packed12,ret_Val_
373,ffm_write_data,get_frame_
374,decode_nal_units,set_count_
375,vc1_decode_frame,set_count_
376,help,get_frame_
377,qemu_ram_alloc_internal,get_count_
378,nbd_co_request,init_Val_
379,hls_transform_tree,ret_Val_
380,do_POWER_maskg,set_count_
381,ff_h264_field_end,init_Val_
382,check_cuda_errors,set_count_
383,filter_samples,get_count_
384,sonic_encode_init,ret_Val_
385,mv88w8618_flashcfg_write,init_Val_
386,lsi53c895a_register_devices,set_count_
387,scsi_read_request,get_count_
388,wdt_diag288_class_init,init_Val_
389,qemu_rdma_block_for_wrid,get_count_
390,ff_init_cabac_decoder,set_count_
391,xhci_disable_ep,ret_Val_
392,s390_virtio_irq,ret_Val_
393,vp8_mc,set_count_
394,acpi_build_update,ret_Val_
395,qemu_fill_buffer,ret_Val_
396,header_ext_add,init_Val_
397,qcow2_update_header,set_count_
398,create,init_Val_
399,verdex_init,get_count_
400,vmsvga_fifo_run,init_Val_
401,integratorcp_init,ret_Val_
402,write_l1_entry,get_frame_
403,e1000_can_receive,init_Val_
404,get_chroma_qp,get_frame_
405,input_callback,set_count_
406,RENAME,ret_Val_
407,ljpeg_decode_rgb_scan,ret_Val_
408,gen_exts,ret_Val_
409,START_TEST,set_count_
410,do_arm_semihosting,get_frame_
411,qemu_free_timer,init_Val_
412,put_cod,init_Val_
413,pty_chr_state,set_count_
414,ff_nvdec_decode_init,get_frame_
415,test_qemu_strtoull_full_negative,get_frame_
416,virtio_net_flush_tx,get_count_
417,mm_stop_timer,set_count_
418,test_task_complete,get_frame_
419,gen_op_arith_compute_ov,ret_Val_
420,nbd_receive_reply,get_frame_
421,qcow_co_readv,ret_Val_
422,h261_find_frame_end,ret_Val_
423,hls_decode_entry,get_frame_
424,rv34_pred_mv,get_frame_
425,disas_insn,set_count_
426,gen_tst_cc,get_frame_
427,decode_5,ret_Val_
428,hmp_migrate_status_cb,get_count_
429,check_prot,get_frame_
430,gen_tlbsx_440,get_count_
431,get_xbzrle_cache_stats,get_count_
432,calculate_refcounts,init_Val_
433,mcf5208evb_init,set_count_
434,memory_region_test_and_clear_dirty,init_Val_
435,decode_frame_byterun1,init_Val_
436,vga_draw_text,init_Val_
437,qmp_chardev_open_serial,ret_Val_
438,write_target_close,init_Val_
439,sm501_disp_ctrl_write,set_count_
440,st_print_trace_file_status,get_frame_
441,do_strtosz,ret_Val_
442,helper_tlb_update,get_count_
443,write_vec_element,get_count_
444,omap_mpui_io_read,get_frame_
445,RENAME,init_Val_
446,altivec_uyvy_rgb32,init_Val_
447,bios_linker_loader_alloc,init_Val_
448,iscsi_refresh_limits,ret_Val_
449,qmp_query_commands,init_Val_
450,RENAME,get_frame_
451,ram_block_enable_notify,ret_Val_
452,mp3_parse_vbr_tags,set_count_
453,compute_antialias_float,set_count_
454,build_modpred,get_frame_
455,qemu_put_be32,set_count_
456,amr_nb_encode_init,ret_Val_
457,bochs_open,init_Val_
458,event_status_media,init_Val_
459,render_line,get_frame_
460,find_and_decode_index,ret_Val_
461,dxva2_init,ret_Val_
462,op_POWER_doz,get_count_
463,ram_init,set_count_
464,qdict_crumple_test_recursive,get_count_
465,ppc_translate_init,get_frame_
466,ide_atapi_identify,get_count_
467,ehci_trace_qtd,ret_Val_
468,omap_gpio_init,init_Val_
469,vscsi_queue_cmd,get_count_
470,device_try_init,set_count_
471,yuv2nv12XinC,init_Val_
472,FUNC,get_count_
473,ram_chunk_start,init_Val_
474,virtio_serial_load,init_Val_
475,pc_hot_add_cpu,ret_Val_
476,vc1_filter_line,get_count_
477,collie_init,init_Val_
478,usbnet_can_receive,init_Val_
479,ogg_get_length,get_frame_
